Title,Author,Conference Name (Book Title),Year,Abstract,url,Keywords,Source_File
Exploring the longitudinal effects of nudging on users’ music genre exploration behavior and listening preferences,"Liang, Yu and Willemsen, Martijn C.",RECSYS,2022,"Previous studies on exploration have shown that users can be nudged to explore further away from their current preferences. However, these effects were shown in a single session study, while it often takes time to explore new tastes and develop new preferences. In this work, we present a longitudinal study on users’ exploration behavior and behavior change over time after they have used a music genre exploration tool for four sessions in six weeks. We test two relevant nudges to help them explore more: the starting point (the personalization of the default initial playlist) and the visualization of users’ previous position(s). Our results show that the personalization level of the default initial playlist in the first session influences the preferred personalization level users set in the second session but fades away in later sessions as users start exploring in different directions. Visualization of users’ previous positions did not anchor users to stay closer to the initial defaults. Over time, users perceived the playlist to be more personalized to their tastes and helpful to explore the genre. Perceived helpfulness increased more when users explored further away from their current preferences. Apart from differences in self-reported measures, we also find some objective evidence for preference change in users’ top tracks from their Spotify profile, that over the period of 6 weeks moved somewhat closer to the genre that users selected to explore with the tool.",https://doi.org/10.1145/3523227.3546772,"Anchoring, Longitudinal study, Music genre exploration, Nudge, Preference development",recsys2022.bib
Modeling User Repeat Consumption Behavior for Online Novel Recommendation,"Li, Yuncong and Yin, Cunxiang and he, yancheng and Xu, Guoqiang and Cai, Jing and luo, leeven and Zhong, Sheng-hua",RECSYS,2022,"Given a user’s historical interaction sequence, online novel recommendation suggests the next novel the user may be interested in. Online novel recommendation is important but underexplored. In this paper, we concentrate on recommending online novels to new users of an online novel reading platform, whose first visits to the platform occurred in the last seven days. We have two observations about online novel recommendation for new users. First, repeat novel consumption of new users is a common phenomenon. Second, interactions between users and novels are informative. To accurately predict whether a user will reconsume a novel, it is crucial to characterize each interaction at a fine-grained level. Based on these two observations, we propose a neural network for online novel recommendation, called NovelNet. NovelNet can recommend the next novel from both the user’s consumed novels and new novels simultaneously. Specifically, an interaction encoder is used to obtain accurate interaction representation considering fine-grained attributes of interaction, and a pointer network with a pointwise loss is incorporated into NovelNet to recommend previously-consumed novels. Moreover, an online novel recommendation dataset is built from a well-known online novel reading platform and is released for public use as a benchmark. Experimental results on the dataset demonstrate the effectiveness of NovelNet 1.",https://doi.org/10.1145/3523227.3546762,"interaction understanding, online novel recommendation, repeat consumption",recsys2022.bib
A User-Centered Investigation of Personal Music Tours,"Gabbolini, Giovanni and Bridge, Derek",RECSYS,2022,"Streaming services use recommender systems to surface the right music to users. Playlists are a popular way to present music in a list-like fashion, i.e. as a plain list of songs. An alternative are tours, where the songs alternate with segues, which explain the connections between consecutive songs. Tours address the user need of seeking background information about songs, and are found to be superior to playlists, given the right user context. In this work, we provide, for the first time, a user-centered evaluation of two tour-generation algorithms (Greedy and Optimal) using semi-structured interviews. We assess the algorithms, we discuss attributes of the tours that the algorithms produce, we identify which attributes are desirable and which are not, and we enumerate several possible improvements to the algorithms, along with practical suggestions on how to implement the improvements. Our main findings are that Greedy generates more likeable tours than Optimal, and that three important attributes of tours are segue diversity, song arrangement and song familiarity. More generally, we provide insights into how to present music to users, which could inform the design of user-centered recommender systems.",https://doi.org/10.1145/3523227.3546776,"music recommender systems, playlists, segues, user evaluation.",recsys2022.bib
Towards Psychologically-Grounded Dynamic Preference Models,"Curmei, Mihaela and Haupt, Andreas A. and Recht, Benjamin and Hadfield-Menell, Dylan",RECSYS,2022,"Designing recommendation systems that serve content aligned with time varying preferences requires proper accounting of the feedback effects of recommendations on human behavior and psychological condition. We argue that modeling the influence of recommendations on people’s preferences must be grounded in psychologically plausible models. We contribute a methodology for developing grounded dynamic preference models. We demonstrate this method with models that capture three classic effects from the psychology literature: Mere-Exposure, Operant Conditioning, and Hedonic Adaptation. We conduct simulation-based studies to show that the psychological models manifest distinct behaviors that can inform system design. Our study has two direct implications for dynamic user modeling in recommendation systems. First, the methodology we outline is broadly applicable for psychologically grounding dynamic preference models. It allows us to critique recent contributions based on their limited discussion of psychological foundation and their implausible predictions. Second, we discuss implications of dynamic preference models for recommendation systems evaluation and design. In an example, we show that engagement and diversity metrics may be unable to capture desirable recommendation system performance.",https://doi.org/10.1145/3523227.3546778,"behavioral psychology, dynamic preference models, recommendation systems, user modeling",recsys2022.bib
Aspect Re-distribution for Learning Better Item Embeddings in Sequential Recommendation,"Cai, Wei and Pan, Weike and Mao, Jingwen and Yu, Zhechao and Xu, Congfu",RECSYS,2022,"Sequential recommendation has attracted a lot of attention from both academia and industry. Since item embeddings directly affect the recommendation results, their learning process is very important. However, most existing sequential models may introduce bias when updating the item embeddings. For example, in a sequence where all items are endorsed by a same celebrity, the co-occurrence of two items only indicates their similarity in terms of endorser, and is independent of the other aspects such as category and color. The existing models often update the entire item as a whole or update different aspects of the item without distinction, which fails to capture the contributions of different aspects to the co-occurrence pattern. To overcome the above limitations, we propose aspect re-distribution (ARD) to focus on updating the aspects that are important for co-occurrence. Specifically, we represent an item using several aspect embeddings with the same initial importance. We then re-calculate the importance of each aspect according to the other items in the sequence. Finally, we aggregate these aspect embeddings into a single aspect-aware embedding according to their importance. The aspect-aware embedding can be provided as input to a successor sequential model. Updates of the aspect-aware embedding are passed back to the aspect embeddings based on their importance. Therefore, different from the existing models, our method pays more attention to updating the important aspects. In our experiments, we choose self-attention networks as the successor model. The experimental results on four real-world datasets indicate that our method achieves very promising performance in comparison with seven state-of-the-art models.",https://doi.org/10.1145/3523227.3546764,"aspect re-distribution, aspect-aware item embedding, sequential recommendation",recsys2022.bib
Defending Substitution-Based Profile Pollution Attacks on Sequential Recommenders,"Yue, Zhenrui and Zeng, Huimin and Kou, Ziyi and Shang, Lanyu and Wang, Dong",RECSYS,2022,"While sequential recommender systems achieve significant improvements on capturing user dynamics, we argue that sequential recommenders are vulnerable against substitution-based profile pollution attacks. To demonstrate our hypothesis, we propose a substitution-based adversarial attack algorithm, which modifies the input sequence by selecting certain vulnerable elements and substituting them with adversarial items. In both untargeted and targeted attack scenarios, we observe significant performance deterioration using the proposed profile pollution algorithm. Motivated by such observations, we design an efficient adversarial defense method called Dirichlet neighborhood sampling. Specifically, we sample item embeddings from a convex hull constructed by multi-hop neighbors to replace the original items in input sequences. During sampling, a Dirichlet distribution is used to approximate the probability distribution in the neighborhood such that the recommender learns to combat local perturbations. Additionally, we design an adversarial training method tailored for sequential recommender systems. In particular, we represent selected items with one-hot encodings and perform gradient ascent on the encodings to search for the worst case linear combination of item embeddings in training. As such, the embedding function learns robust item representations and the trained recommender is resistant to test-time adversarial examples. Extensive experiments show the effectiveness of both our attack and defense methods, which consistently outperform baselines by a significant margin across model architectures and datasets.",https://doi.org/10.1145/3523227.3546770,,recsys2022.bib
Context and Attribute-Aware Sequential Recommendation via Cross-Attention,"Rashed, Ahmed and Elsayed, Shereen and Schmidt-Thieme, Lars",RECSYS,2022,"In sparse recommender settings, users’ context and item attributes play a crucial role in deciding which items to recommend next. Despite that, recent works in sequential and time-aware recommendations usually either ignore both aspects or only consider one of them, limiting their predictive performance. In this paper, we address these limitations by proposing a context and attribute-aware recommender model (CARCA) that can capture the dynamic nature of the user profiles in terms of contextual features and item attributes via dedicated multi-head self-attention blocks that extract profile-level features and predict item scores. Also, unlike many of the current state-of-the-art sequential item recommendation approaches that use a simple dot-product between the most recent item’s latent features and the target items embeddings for scoring, CARCA uses cross-attention between all profile items and the target items to predict their final scores. This cross-attention allows CARCA to harness the correlation between old and recent items in the user profile and their influence on deciding which item to recommend next. Experiments on four real-world recommender system datasets show that the proposed model significantly outperforms all state-of-the-art models in the task of item recommendation and achieving improvements of up to 53\% in Normalized Discounted Cumulative Gain (NDCG) and Hit-Ratio. Results also show that CARCA outperformed several state-of-the-art dedicated image-based recommender systems by merely utilizing image attributes extracted from a pre-trained ResNet50 in a black-box fashion.",https://doi.org/10.1145/3523227.3546777,"Attribute-Aware Recommendation, Context-Aware Recommendation, Cross Multi-Head Attention, Sequential Recommendation",recsys2022.bib
Effective and Efficient Training for Sequential Recommendation using Recency Sampling,"Petrov, Aleksandr and Macdonald, Craig",RECSYS,2022,"Many modern sequential recommender systems use deep neural networks, which can effectively estimate the relevance of items but require a lot of time to train. Slow training increases expenses, hinders product development timescales and prevents the model from being regularly updated to adapt to changing user preferences. Training such sequential models involves appropriately sampling past user interactions to create a realistic training objective. The existing training objectives have limitations. For instance, next item prediction never uses the beginning of the sequence as a learning target, thereby potentially discarding valuable data. On the other hand, the item masking used by BERT4Rec is only weakly related to the goal of the sequential recommendation; therefore, it requires much more time to obtain an effective model. Hence, we propose a novel Recency-based Sampling of Sequences training objective that addresses both limitations. We apply our method to various recent and state-of-the-art model architectures – such as GRU4Rec, Caser, and SASRec. We show that the models enhanced with our method can achieve performances exceeding or very close to state-of-the-art BERT4Rec, but with much less training time.",https://doi.org/10.1145/3523227.3546785,,recsys2022.bib
Denoising Self-Attentive Sequential Recommendation,"Chen, Huiyuan and Lin, Yusan and Pan, Menghai and Wang, Lan and Yeh, Chin-Chia Michael and Li, Xiaoting and Zheng, Yan and Wang, Fei and Yang, Hao",RECSYS,2022,"Transformer-based sequential recommenders are very powerful for capturing both short-term and long-term sequential item dependencies. This is mainly attributed to their unique self-attention networks to exploit pairwise item-item interactions within the sequence. However, real-world item sequences are often noisy, which is particularly true for implicit feedback. For example, a large portion of clicks do not align well with user preferences, and many products end up with negative reviews or being returned. As such, the current user action only depends on a subset of items, not on the entire sequences. Many existing Transformer-based models use full attention distributions, which inevitably assign certain credits to irrelevant items. This may lead to sub-optimal performance if Transformers are not regularized properly. Here we propose the Rec-denoiser model for better training of self-attentive recommender systems. In Rec-denoiser, we aim to adaptively prune noisy items that are unrelated to the next item prediction. To achieve this, we simply attach each self-attention layer with a trainable binary mask to prune noisy attentions, resulting in sparse and clean attention distributions. This largely purifies item-item dependencies and provides better model interpretability. In addition, the self-attention network is typically not Lipschitz continuous and is vulnerable to small perturbations. Jacobian regularization is further applied to the Transformer blocks to improve the robustness of Transformers for noisy sequences. Our Rec-denoiser is a general plugin that is compatible to many Transformers. Quantitative results on real-world datasets show that our Rec-denoiser outperforms the state-of-the-art baselines.",https://doi.org/10.1145/3523227.3546788,"Differentiable Mask, Noise Analysis, Sequential Recommendation, Sparse Transformer",recsys2022.bib
Modeling Two-Way Selection Preference for Person-Job Fit,"Yang, Chen and Hou, Yupeng and Song, Yang and Zhang, Tao and Wen, Ji-Rong and Zhao, Wayne Xin",RECSYS,2022,"Person-job fit is the core technique of online recruitment platforms, which can improve the efficiency of recruitment by accurately matching the job positions with the job seekers. Existing works mainly focus on modeling the unidirectional process or overall matching. However, recruitment is a two-way selection process, which means that both candidate and employer involved in the interaction should meet the expectation of each other, instead of unilateral satisfaction. In this paper, we propose a dual-perspective graph representation learning approach to model directed interactions between candidates and jobs. To model the two-way selection preference from the dual-perspective of job seekers and employers, we incorporate two different nodes for each candidate (or job) and characterize both successful matching and failed matching via a unified dual-perspective interaction graph. To learn dual-perspective node representations effectively, we design an effective optimization algorithm, which involves a quadruple-based loss and a dual-perspective contrastive learning loss. Extensive experiments on three large real-world recruitment datasets have shown the effectiveness of our approach. Our code is available at https://github.com/RUCAIBox/DPGNN .",https://doi.org/10.1145/3523227.3546752,"contrastive learning, graph neural network, person-job fit",recsys2022.bib
